CountryCode,SeriesCode,DESCRIPTION
"ABW","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population."
"ABW","SP.DYN.CDRT.IN","Data source: Central Bureau of Statistics, United Nations World Population Prospects"
"ABW","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"ABW","IT.NET.USER.ZS","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba"
"ABW","SP.DYN.CBRT.IN","Data source: Central Bureau of Statistics, United Nations World Population Prospects"
"ABW","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"ABW","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"ABW","SP.POP.TOTL","Data source: Central Bureau of Statistics, United Nations World Population Prospects"
"ABW","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"ABW","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"ABW","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"AFG","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population."
"AFG","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"AFG","IT.NET.USER.ZS","Ministry of Communications. Ministry of Communications & Information Technology"
"AFG","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"AFG","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"AFG","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"AFG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"AFG","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"AFG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"AFG","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"AFG","NY.GNP.PCAP.PP.CD","Estimates are based on regression."
"AFG","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"AGO","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"AGO","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates."
"AGO","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"AGO","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"AGO","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"AGO","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"AGO","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"AGO","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"AGO","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"AGO","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"AGO","IT.NET.USER.ZS","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications."
"ALB","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"ALB","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"ALB","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"ALB","SP.POP.TOTL","Data source: Institute of Statistics, Eurostat"
"ALB","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"ALB","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"ALB","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"ALB","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population."
"ALB","IT.NET.USER.ZS","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament"
"ALB","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"ALB","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"AND","SP.DYN.CDRT.IN","Data source: Eurostat"
"AND","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"AND","SG.POP.MIGR.FE.ZS","Estimates were derived from data on foreign citizens."
"AND","SP.DYN.CBRT.IN","Data source: Eurostat"
"AND","SP.DYN.TFRT.IN","Data source: Eurostat"
"ARE","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"ARE","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
